Area,"Unrepresented Rate","Unrepresented Votes",Votes
"連江縣選舉區",0.0000,0,2443
"高雄市第1選區",0.1323,58107,439114
"宜蘭縣選舉區",0.1416,26132,184540
"新竹縣選舉區",0.1422,23715,166751
"臺北市第2選區",0.1454,105035,722224
"臺北市第1選區",0.1841,139217,756142
"嘉義縣選舉區",0.1862,50773,272739
"新竹市選舉區",0.1933,23365,120844
"臺南縣選舉區",0.2046,101909,497969
"臺北縣第3選區",0.2184,102581,469686
"臺北縣第2選區",0.2218,112596,507620
"臺中縣選舉區",0.2334,155054,664314
"彰化縣選舉區",0.2350,155649,662464
"高雄縣選舉區",0.2365,138402,585269
"基隆市選舉區",0.2381,32902,138173
"雲林縣選舉區",0.2428,86471,356118
"桃園縣選舉區",0.2558,171604,670981
"嘉義市選舉區",0.2691,28060,104286
"苗栗縣選舉區",0.2708,71944,265628
"屏東縣選舉區",0.2825,115456,408652
"臺中市選舉區",0.2964,108324,365418
"臺北縣第1選區",0.3228,133554,413786
"臺南市選舉區",0.3252,95989,295188
"高雄市第2選區",0.3257,114102,350321
"澎湖縣選舉區",0.3722,13248,35590
"花蓮縣選舉區",0.4329,46135,106566
"南投縣選舉區",0.4356,105023,241112
"金門縣選舉區",0.5524,11227,20324
"臺東縣選舉區",0.5755,43267,75180
(Total),0.2394,2369841,9899442
