Area,"Unrepresented Rate","Unrepresented Votes",Votes
(Total),0.4355,4242106,9740896
"金門縣第01選區",0.6269,16652,26564
"彰化縣第04選區",0.5874,86800,147780
"臺北縣第02選區",0.5683,77964,137189
"彰化縣第01選區",0.5503,82287,149523
"高雄縣第03選區",0.5486,67875,123723
"彰化縣第03選區",0.5467,82584,151070
"苗栗縣第02選區",0.5437,68979,126859
"嘉義市第01選區",0.5330,60229,113003
"屏東縣第01選區",0.5309,71825,135278
"雲林縣第02選區",0.5089,81993,161131
"高雄市第03選區",0.5086,58821,115647
"臺北縣第03選區",0.5049,76688,151900
"連江縣第01選區",0.5027,2206,4388
"高雄縣第04選區",0.4977,73392,147454
"臺南市第01選區",0.4973,86040,173023
"高雄市第02選區",0.4946,64204,129808
"澎湖縣第01選區",0.4928,19029,38613
"屏東縣第03選區",0.4869,56848,116744
"高雄市第04選區",0.4867,70651,145153
"臺南市第02選區",0.4836,82566,170738
"臺北縣第04選區",0.4827,71955,149077
"臺北縣第12選區",0.4804,58511,121808
"高雄市第05選區",0.4802,65199,135775
"臺北縣第05選區",0.4768,56443,118391
"臺北市第02選區",0.4760,73931,155317
"臺南縣第03選區",0.4734,76285,161158
"宜蘭縣第01選區",0.4687,83779,178744
"高雄縣第01選區",0.4644,62704,135013
"臺中縣第01選區",0.4640,51624,111256
"桃園縣第02選區",0.4543,59249,130423
"臺南縣第01選區",0.4543,69844,153753
"臺中市第03選區",0.4509,62575,138784
"臺中縣第03選區",0.4504,61927,137490
"高雄縣第02選區",0.4473,68507,153166
"臺北縣第07選區",0.4417,52027,117779
"雲林縣第01選區",0.4376,67348,153919
"屏東縣第02選區",0.4317,52441,121468
"臺北縣第06選區",0.4306,52264,121361
"嘉義縣第02選區",0.4295,49071,114263
"臺中市第02選區",0.4292,72087,167960
"嘉義縣第01選區",0.4253,55860,131349
"臺中縣第05選區",0.4231,53012,125282
"南投縣第02選區",0.4207,45270,107614
"苗栗縣第01選區",0.4198,46905,111722
"臺北市第05選區",0.4176,62699,150147
"高雄市第01選區",0.4170,66107,158524
"臺北縣第01選區",0.4162,59125,142074
"臺南縣第02選區",0.4083,65601,160662
"臺北縣第08選區",0.4045,64378,159163
"臺北市第01選區",0.4018,63606,158300
"臺中縣第02選區",0.4006,55704,139053
"彰化縣第02選區",0.3997,51856,129727
"臺北縣第10選區",0.3989,51538,129194
"臺北市第03選區",0.3974,65931,165890
"新竹市第01選區",0.3938,64393,163517
"臺東縣第01選區",0.3891,22158,56952
"臺中市第01選區",0.3871,53471,138135
"桃園縣第01選區",0.3823,47022,122995
"臺北市第04選區",0.3775,63897,169272
"桃園縣第04選區",0.3757,48611,129380
"桃園縣第03選區",0.3678,49923,135744
"桃園縣第05選區",0.3623,45267,124938
"臺中縣第04選區",0.3600,38368,106584
"桃園縣第06選區",0.3497,42807,122400
"臺北市第07選區",0.3421,49467,144612
"花蓮縣第01選區",0.3360,31653,94201
"新竹縣第01選區",0.3348,64361,192253
"臺北市第06選區",0.3320,49340,148634
"南投縣第01選區",0.3288,31489,95784
"基隆市第01選區",0.3221,47004,145930
"臺北縣第09選區",0.3039,43051,141685
"臺北縣第11選區",0.3030,45912,151513
"臺北市第08選區",0.2818,40916,145173
